speaker,start_time,end_time,reason
LAURA,00:02:27,00:02:27,invalid_range
ASHLEY,00:05:26,00:05:26,invalid_range
TRAVIS,00:05:30,00:05:30,invalid_range
MARISHA,00:05:35,00:05:35,invalid_range
MATT,00:05:36,00:05:36,invalid_range
LAURA,00:06:11,00:06:11,invalid_range
LAURA,00:06:23,00:06:23,invalid_range
LAURA,00:06:49,00:06:49,invalid_range
LAURA,00:06:53,00:06:53,invalid_range
LAURA,00:07:09,00:07:09,invalid_range
SAM,00:07:09,00:07:09,invalid_range
LAURA,00:07:11,00:07:11,invalid_range
SAM,00:07:15,00:07:15,invalid_range
ASHLEY,00:11:44,00:11:44,invalid_range
TRAVIS,00:11:53,00:11:53,invalid_range
SAM,00:11:57,00:11:57,invalid_range
LAURA,00:12:58,00:12:58,invalid_range
MATT,00:13:04,00:13:04,invalid_range
MATT,00:13:10,00:13:10,invalid_range
MATT,00:13:17,00:13:17,invalid_range
SAM,00:13:21,00:13:21,invalid_range
SAM,00:13:29,00:13:29,invalid_range
MATT,00:13:48,00:13:48,invalid_range
LAURA,00:13:51,00:13:51,invalid_range
TALIESIN,00:14:05,00:14:05,invalid_range
SAM,00:14:07,00:14:07,invalid_range
MATT,00:14:50,00:14:50,invalid_range
ASHLEY,00:14:59,00:14:59,invalid_range
"TRAVIS, LAURA",00:15:03,00:15:03,invalid_range
LAURA,00:15:08,00:15:08,invalid_range
TALIESIN,00:15:12,00:15:12,invalid_range
SAM,00:15:20,00:15:20,invalid_range
MATT,00:15:24,00:15:24,invalid_range
LAURA,00:15:27,00:15:27,invalid_range
LAURA,00:15:34,00:15:34,invalid_range
LIAM,00:15:35,00:15:35,invalid_range
SAM,00:15:41,00:15:41,invalid_range
TRAVIS,00:15:42,00:15:42,invalid_range
SAM,00:16:19,00:16:19,invalid_range
ASHLEY,00:16:35,00:16:35,invalid_range
MATT,00:16:44,00:16:44,invalid_range
MARISHA,00:17:15,00:17:15,invalid_range
MARISHA,00:18:10,00:18:10,invalid_range
MARISHA,00:18:12,00:18:12,invalid_range
TRAVIS,00:18:20,00:18:20,invalid_range
SAM,00:18:20,00:18:20,invalid_range
SAM,00:18:47,00:18:47,invalid_range
TRAVIS,00:19:03,00:19:03,invalid_range
SAM,00:19:29,00:19:29,invalid_range
TALIESIN,00:19:31,00:19:31,invalid_range
